,ID_2020,ëIéËñº_2020,îN_2020,É`Å[ÉÄ_2020,ééçá_2020,ë≈ê»_2020,ë≈êî_2020,ìæì__2020,à¿ë≈_2020,ìÒó€ë≈_2020,éOó€ë≈_2020,ñ{ó€ë≈_2020,ó€ë≈_2020,ë≈ì__2020,ìêó€_2020,ìêó€éh_2020,ã]ë≈_2020,ã]îÚ_2020,élãÖ_2020,éÄãÖ_2020,éOêU_2020,ïπéEë≈_2020,ë≈ó¶_2020,í∑ë≈ó¶_2020,èoó€ó¶_2020,íPë≈_2020,wOBAï™éq_2020,wOBAï™ïÍ_2020,wOBA_2020,ÉäÅ[ÉO_2020,ÉäÅ[ÉOwOBA_2020,ë≈åÇìæì__2020,ÉäÅ[ÉOééçá_2020,ÉäÅ[ÉOë≈ê»_2020,ÉäÅ[ÉOìæì__2020,wRC_2020,ID_2019,ëIéËñº_2019,îN_2019,É`Å[ÉÄ_2019,ééçá_2019,ë≈ê»_2019,ë≈êî_2019,ìæì__2019,à¿ë≈_2019,ìÒó€ë≈_2019,éOó€ë≈_2019,ñ{ó€ë≈_2019,ó€ë≈_2019,ë≈ì__2019,ìêó€_2019,ìêó€éh_2019,ã]ë≈_2019,ã]îÚ_2019,élãÖ_2019,éÄãÖ_2019,éOêU_2019,ïπéEë≈_2019,ë≈ó¶_2019,í∑ë≈ó¶_2019,èoó€ó¶_2019,íPë≈_2019,wOBAï™éq_2019,wOBAï™ïÍ_2019,wOBA_2019,ÉäÅ[ÉO_2019,ÉäÅ[ÉOwOBA_2019,ë≈åÇìæì__2019,ÉäÅ[ÉOééçá_2019,ÉäÅ[ÉOë≈ê»_2019,ÉäÅ[ÉOìæì__2019,wRC_2019,ë≈ê»î‰ó¶,p_ë≈ê»_2019,p_ë≈êî_2019,p_ìæì__2019,p_à¿ë≈_2019,p_ìÒó€ë≈_2019,p_éOó€ë≈_2019,p_ñ{ó€ë≈_2019,p_ó€ë≈_2019,p_ë≈ì__2019,p_ìêó€_2019,p_ìêó€éh_2019,p_ã]ë≈_2019,p_ã]îÚ_2019,p_élãÖ_2019,p_éÄãÖ_2019,p_éOêU_2019,p_ïπéEë≈_2019,p_íPë≈_2019,p_wOBAï™éq_2019,p_wOBAï™ïÍ_2019,p_wOBA_2019,p_ë≈åÇìæì__2019,p_wRC_2019,êLÇ—
163,81085138,ì⁄ã{Å@óTê^,2020,ÉIÉäÉbÉNÉX,12,35,32,5,10,3,0,2,19,5,0,0,0,0,3,0,11,0,0.313,0.594,0.371,5,14.5,35,0.4142857142857143,Ép,0.31533049922877243,3.133581810136493,720,27080,2963,6.963160835247276,81085138.0,ì⁄ã{Å@óTê^,2019.0,ÉIÉäÉbÉNÉX,28.0,93.0,91.0,5.0,18.0,5.0,0.0,3.0,32.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,22.0,3.0,0.198,0.35200000000000004,0.204,10.0,22.2,93.0,0.23870967741935484,Ép,0.31988897159161395,-6.426694121970513,858.0,32792.0,3698.0,4.061046790447149,0.3763440860215054,35.0,34.24731182795699,1.881720430107527,6.774193548387097,1.881720430107527,0.0,1.129032258064516,12.043010752688172,3.763440860215054,0.0,0.0,0.0,0.3763440860215054,0.3763440860215054,0.0,8.279569892473118,1.129032258064516,3.763440860215054,8.35483870967742,35.0,0.23870967741935487,-2.418648325472773,1.528350942641401,5.434809892605875
31,51455130,íÜë∫Å@èßå·,2020,êÁótÉçÉbÉe,120,499,422,57,105,25,0,8,154,49,6,3,15,2,52,8,97,6,0.249,0.365,0.341,72,155.3,484,0.32086776859504135,Ép,0.31533049922877243,2.588673428730718,720,27080,2963,57.18752867245302,51455130.0,íÜë∫Å@èßå·,2019.0,êÁótÉçÉbÉe,143.0,586.0,512.0,68.0,119.0,22.0,0.0,17.0,192.0,59.0,12.0,6.0,6.0,3.0,53.0,12.0,96.0,10.0,0.23199999999999998,0.375,0.317,80.0,180.1,580.0,0.31051724137931036,Ép,0.31988897159161395,-5.107592965705455,858.0,32792.0,3698.0,60.976451923291854,0.8515358361774744,499.0,435.9863481228669,57.90443686006826,101.33276450511946,18.733788395904437,0.0,14.476109215017065,163.49488054607508,50.24061433447099,10.218430034129693,5.109215017064846,5.109215017064846,2.554607508532423,45.13139931740614,10.218430034129693,81.74744027303754,8.515358361774744,68.12286689419795,153.36160409556314,493.89078498293514,0.31051724137931036,-4.349298446906181,51.9236339756359,5.263894696817118
89,31735132,ñÿâ∫Å@ëÒç∆,2020,íÜÅ@ì˙,88,269,251,19,67,14,1,6,101,32,0,0,5,0,12,1,49,1,0.267,0.402,0.303,46,82.3,264,0.3117424242424242,ÉZ,0.3185745868775059,-1.605558219244196,720,27093,2962,27.803440415089398,31735132.0,ñÿâ∫Å@ëÒç∆,2019.0,íÜÅ@ì˙,39.0,98.0,88.0,5.0,20.0,6.0,0.0,2.0,32.0,8.0,0.0,0.0,1.0,1.0,5.0,3.0,22.0,2.0,0.22699999999999998,0.364,0.289,12.0,28.2,97.0,0.29072164948453605,ÉZ,0.31900344388942325,-2.5217933344357757,858.0,32803.0,3607.0,8.254233248498712,2.7448979591836733,269.0,241.55102040816325,13.724489795918366,54.897959183673464,16.46938775510204,0.0,5.489795918367347,87.83673469387755,21.959183673469386,0.0,0.0,2.7448979591836733,2.7448979591836733,13.724489795918366,8.23469387755102,60.38775510204081,5.489795918367347,32.938775510204074,77.40612244897959,266.2551020408163,0.29072164948453605,-6.922065377175754,22.657027998430138,5.14641241665926
149,51855132,ëùìcÅ@ëÂãP,2020,ì«Å@îÑ,74,48,37,30,11,2,0,0,13,2,23,8,0,0,11,0,12,1,0.297,0.35100000000000003,0.45799999999999996,9,18.4,48,0.3833333333333333,ÉZ,0.3185745868775059,3.1839717007448476,720,27093,2962,8.431674059287644,51855132.0,ëùìcÅ@ëÂãP,2019.0,ì«Å@îÑ,75.0,58.0,50.0,20.0,10.0,2.0,2.0,0.0,16.0,6.0,15.0,2.0,2.0,0.0,6.0,0.0,11.0,2.0,0.2,0.32,0.28600000000000003,6.0,15.399999999999999,56.0,0.27499999999999997,ÉZ,0.31900344388942325,-2.346850340769242,858.0,32803.0,3607.0,4.030798045049128,0.8275862068965517,48.0,41.37931034482759,16.551724137931036,8.275862068965518,1.6551724137931034,1.6551724137931034,0.0,13.241379310344827,4.9655172413793105,12.413793103448276,1.6551724137931034,1.6551724137931034,0.0,4.9655172413793105,0.0,9.10344827586207,1.6551724137931034,4.965517241379311,12.744827586206897,46.3448275862069,0.275,-1.9422209716710945,3.3358328648682463,5.095841194419398
92,71575136,ê_ó¢Å@òaãB,2020,â°ïlDeNA,80,190,169,38,52,8,1,3,71,17,7,1,1,2,15,3,42,3,0.308,0.42,0.37,40,66.6,189,0.35238095238095235,ÉZ,0.3185745868775059,5.91611396310313,720,27093,2962,26.688269132335034,71575136.0,ê_ó¢Å@òaãB,2019.0,â°ïlDeNA,123.0,458.0,427.0,62.0,119.0,31.0,3.0,6.0,174.0,35.0,15.0,10.0,3.0,0.0,26.0,2.0,121.0,7.0,0.27899999999999997,0.40700000000000003,0.32299999999999995,79.0,147.8,455.0,0.32483516483516484,ÉZ,0.31900344388942325,2.3618469830253406,858.0,32803.0,3607.0,52.723277340004884,0.4148471615720524,190.0,177.13973799126637,25.720524017467252,49.36681222707424,12.860262008733626,1.2445414847161573,2.4890829694323147,72.18340611353712,14.519650655021834,6.222707423580786,4.148471615720524,1.2445414847161573,0.0,10.786026200873364,0.8296943231441049,50.196506550218345,2.903930131004367,32.77292576419214,61.314410480349345,188.75545851528383,0.32483516483516484,0.9798055169755778,21.872101953277134,4.816167179057899
224,71475136,êºä™Å@å´ìÒ,2020,êÁótÉçÉbÉe,11,19,16,2,4,1,0,0,5,0,0,1,1,0,2,0,6,0,0.25,0.313,0.33299999999999996,3,5.3999999999999995,18,0.3,Ép,0.31533049922877243,-0.2682837365035178,720,27080,2963,1.8106305914137641,71475136.0,êºä™Å@å´ìÒ,2019.0,ìåñkäyìV,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Ép,0.31988897159161395,-0.26657414299301163,858.0,32792.0,3698.0,-0.15380273533260666,19.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,19.0,0.0,-5.0649087168672215,-2.922251971319527,4.732882562733291
105,41245133,êºìcÅ@ñæâõ,2020,ìåãûÉÑÉNÉãÉg,69,215,190,20,44,5,0,7,70,20,0,1,1,1,20,3,48,4,0.23199999999999998,0.368,0.313,32,65.4,214,0.305607476635514,ÉZ,0.3185745868775059,-2.5826161231967153,720,27093,2962,20.922717357776232,41245133.0,êºìcÅ@ñæâõ,2019.0,ìåãûÉÑÉNÉãÉg,47.0,62.0,54.0,2.0,11.0,5.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,16.0,1.0,0.204,0.29600000000000004,0.306,6.0,17.5,62.0,0.28225806451612906,ÉZ,0.31900344388942325,-2.143480463442162,858.0,32803.0,3607.0,4.67400574208782,3.467741935483871,215.0,187.25806451612902,6.935483870967742,38.145161290322584,17.338709677419356,0.0,0.0,55.483870967741936,13.870967741935484,0.0,0.0,0.0,0.0,27.741935483870968,0.0,55.483870967741936,3.467741935483871,20.806451612903228,60.685483870967744,215.0,0.28225806451612906,-7.433037090968786,16.208245718530346,4.714471639245886
159,11915132,ç‚ñ{Å@êΩéuòY,2020,ç„Å@ê_,38,95,75,5,16,4,0,0,20,4,1,1,7,0,13,0,20,1,0.213,0.267,0.33,12,25.099999999999998,88,0.2852272727272727,ÉZ,0.3185745868775059,-3.001258273520986,720,27093,2962,7.384819311094967,11915132.0,ç‚ñ{Å@êΩéuòY,2019.0,ç„Å@ê_,20.0,44.0,40.0,2.0,7.0,0.0,0.0,2.0,13.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,8.0,2.0,0.175,0.325,0.195,5.0,9.2,41.0,0.224390243902439,ÉZ,0.31900344388942325,-3.5479949995119098,858.0,32803.0,3607.0,1.2902210173158197,2.159090909090909,95.0,86.36363636363637,4.318181818181818,15.113636363636363,0.0,0.0,4.318181818181818,28.06818181818182,6.4772727272727275,0.0,0.0,6.4772727272727275,0.0,2.159090909090909,0.0,17.272727272727273,4.318181818181818,10.795454545454545,19.863636363636363,88.52272727272728,0.224390243902439,-7.660443748946168,2.7857044692046102,4.599114841890357
21,51455137,ã{ÌïÅ@ïqòY,2020,â°ïlDeNA,113,460,429,47,129,26,1,14,199,53,0,0,0,3,24,4,29,15,0.301,0.46399999999999997,0.341,88,162.2,460,0.3526086956521739,ÉZ,0.3185745868775059,13.925622840301658,720,27093,2962,64.2161037763368,51455137.0,ã{ÌïÅ@ïqòY,2019.0,â°ïlDeNA,114.0,473.0,433.0,54.0,123.0,22.0,1.0,15.0,192.0,49.0,0.0,0.0,0.0,5.0,32.0,3.0,35.0,13.0,0.284,0.44299999999999995,0.33399999999999996,85.0,161.2,473.0,0.34080338266384774,ÉZ,0.31900344388942325,9.319473826066469,858.0,32803.0,3607.0,61.33029600696456,0.9725158562367865,460.0,421.09936575052853,52.51585623678647,119.61945031712474,21.3953488372093,0.9725158562367865,14.587737843551798,186.723044397463,47.653276955602536,0.0,0.0,0.0,4.862579281183932,31.120507399577168,2.9175475687103596,34.038054968287526,12.642706131078224,82.66384778012687,156.76955602537,459.99999999999994,0.3408033826638479,9.06333606763342,59.64468533446877,4.571418441868026
56,81585134,ãûìcÅ@ózëæ,2020,íÜÅ@ì˙,120,491,442,43,109,16,7,5,154,29,8,4,15,1,27,6,80,4,0.247,0.348,0.298,81,138.0,476,0.28991596638655465,ÉZ,0.3185745868775059,-12.538146464791172,720,27093,2962,41.141475577802865,81585134.0,ãûìcÅ@ózëæ,2019.0,íÜÅ@ì˙,140.0,574.0,507.0,46.0,126.0,14.0,5.0,3.0,159.0,40.0,17.0,7.0,24.0,3.0,37.0,3.0,91.0,10.0,0.249,0.314,0.302,104.0,153.8,550.0,0.2796363636363637,ÉZ,0.31900344388942325,-20.241240430114797,858.0,32803.0,3607.0,42.87548669850149,0.8554006968641115,491.0,433.6881533101045,39.34843205574913,107.78048780487805,11.97560975609756,4.2770034843205575,2.566202090592334,136.00871080139373,34.21602787456446,14.541811846689894,5.98780487804878,20.529616724738673,2.566202090592334,31.649825783972123,2.566202090592334,77.84146341463415,8.554006968641115,88.9616724738676,131.56062717770033,470.4703832752613,0.27963636363636357,-17.314371169314274,36.67572120028606,4.465754377516802
129,71375138,ëæìcÅ@åı,2020,ìåñkäyìV,67,164,130,17,26,10,0,2,42,16,0,1,11,3,18,2,38,2,0.2,0.32299999999999995,0.301,14,43.6,153,0.2849673202614379,Ép,0.31533049922877243,-4.731595389076299,720,27080,2963,13.212717757157085,71375138.0,ëæìcÅ@åı,2019.0,ìåñkäyìV,55.0,112.0,96.0,10.0,21.0,2.0,0.0,1.0,26.0,6.0,1.0,0.0,8.0,0.0,7.0,1.0,23.0,2.0,0.21899999999999997,0.271,0.27899999999999997,18.0,26.4,104.0,0.25384615384615383,Ép,0.31988897159161395,-6.604281774546012,858.0,32792.0,3698.0,6.026115883419346,1.4642857142857142,164.0,140.57142857142856,14.642857142857142,30.749999999999996,2.9285714285714284,0.0,1.4642857142857142,38.07142857142857,8.785714285714285,1.4642857142857142,0.0,11.714285714285714,0.0,10.25,1.4642857142857142,33.67857142857142,2.9285714285714284,26.357142857142854,38.65714285714286,152.28571428571428,0.2538461538461539,-9.670555455585223,8.823955400721193,4.388762356435892
47,71475132,êºêÏÅ@ó¥în,2020,çLìáìåóm,76,328,296,36,90,18,0,6,126,32,6,1,2,0,28,2,52,6,0.304,0.426,0.368,66,115.80000000000001,326,0.3552147239263804,ÉZ,0.3185745868775059,10.930974219580902,720,27093,2962,46.79027366962335,71475132.0,êºêÏÅ@ó¥în,2019.0,çLìáìåóm,138.0,585.0,535.0,70.0,159.0,23.0,3.0,16.0,236.0,64.0,6.0,7.0,11.0,5.0,32.0,2.0,81.0,9.0,0.297,0.441,0.336,117.0,195.8,574.0,0.34111498257839723,ÉZ,0.31900344388942325,11.498000118266468,858.0,32803.0,3607.0,75.82428125108967,0.5606837606837607,328.0,299.96581196581195,39.24786324786325,89.14871794871794,12.895726495726496,1.682051282051282,8.970940170940171,132.32136752136753,35.883760683760684,3.364102564102564,3.924786324786325,6.167521367521368,2.8034188034188032,17.941880341880342,1.1213675213675214,45.41538461538462,5.046153846153846,65.60000000000001,109.78188034188034,321.8324786324786,0.34111498257839723,6.446741946651969,42.51344316300413,4.27683050661922
244,91995137,ïêìcÅ@åíå·,2020,íÜÅ@ì˙,84,64,55,9,10,2,0,0,12,2,1,0,3,1,5,0,13,2,0.182,0.218,0.24600000000000002,8,13.299999999999999,61,0.21803278688524588,ÉZ,0.3185745868775059,-5.8649383328818345,720,27093,2962,1.1319981451752286,91995137.0,ïêìcÅ@åíå·,2019.0,íÜÅ@ì˙,29.0,36.0,35.0,2.0,5.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,2.0,0.14300000000000002,0.14300000000000002,0.14300000000000002,5.0,4.5,35.0,0.12857142857142856,ÉZ,0.31900344388942325,-5.7129604595398416,858.0,32803.0,3607.0,-1.754420082135336,1.7777777777777777,64.0,62.22222222222222,3.5555555555555554,8.88888888888889,0.0,0.0,0.0,8.88888888888889,1.7777777777777777,0.0,0.0,1.7777777777777777,0.0,0.0,0.0,21.333333333333332,3.5555555555555554,8.88888888888889,8.0,62.22222222222222,0.1285714285714286,-10.156374150293049,-3.118969034907261,4.2509671800824895
156,41045114,Ó‡íJÅ@óTó∫,2020,ïüâ™É\ÉtÉgÉoÉìÉN,33,62,52,6,13,3,0,2,22,10,0,0,4,0,4,2,19,0,0.25,0.423,0.32799999999999996,8,19.299999999999997,58,0.3327586206896551,Ép,0.31533049922877243,0.9875935494500188,720,27080,2963,7.771419251074834,41045114.0,Ó‡íJÅ@óTó∫,2019.0,ïüâ™É\ÉtÉgÉoÉìÉN,55.0,42.0,30.0,2.0,5.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,7.0,0.0,5.0,0.0,15.0,0.0,0.16699999999999998,0.267,0.28600000000000003,4.0,9.1,35.0,0.26,Ép,0.31988897159161395,-2.3456513873382128,858.0,32792.0,3698.0,2.3907477343987957,1.4761904761904763,62.0,44.28571428571429,2.9523809523809526,7.380952380952381,0.0,0.0,1.4761904761904763,11.80952380952381,1.4761904761904763,0.0,0.0,10.333333333333334,0.0,7.380952380952381,0.0,22.142857142857146,0.0,5.904761904761905,13.433333333333334,51.66666666666667,0.25999999999999995,-3.4626282384516505,3.529199036493458,4.242220214581376
153,71475139,ó‰à‰Å@îéäÛ,2020,â°ïlDeNA,41,60,55,2,18,3,0,0,21,8,0,0,0,0,4,1,14,1,0.327,0.382,0.38299999999999995,15,20.9,60,0.34833333333333333,ÉZ,0.3185745868775059,1.6119320996906528,720,27093,2962,8.17156004786915,71475139.0,ó‰à‰Å@îéäÛ,2019.0,â°ïlDeNA,64.0,130.0,114.0,13.0,24.0,4.0,1.0,2.0,36.0,12.0,0.0,0.0,5.0,0.0,7.0,4.0,23.0,5.0,0.21100000000000002,0.316,0.28,17.0,33.8,125.0,0.2704,ÉZ,0.31900344388942325,-5.7109046570072355,858.0,32803.0,3607.0,8.583824483620146,0.46153846153846156,60.0,52.61538461538462,6.0,11.076923076923077,1.8461538461538463,0.46153846153846156,0.9230769230769231,16.615384615384617,5.538461538461538,0.0,0.0,2.307692307692308,0.0,3.230769230769231,1.8461538461538463,10.615384615384617,2.307692307692308,7.846153846153845,15.599999999999998,57.6923076923077,0.2703999999999999,-2.635802149387958,3.9617651462862185,4.2097949015829315
25,91095135,çÇã¥Å@é¸ïΩ,2020,íÜÅ@ì˙,108,438,394,46,120,25,1,7,168,46,1,1,0,3,39,2,70,13,0.305,0.426,0.368,87,155.1,438,0.35410958904109585,ÉZ,0.3185745868775059,14.273225869041966,720,27093,2962,62.15850989074499,91095135.0,çÇã¥Å@é¸ïΩ,2019.0,íÜÅ@ì˙,117.0,471.0,430.0,50.0,126.0,28.0,5.0,7.0,185.0,59.0,3.0,4.0,5.0,1.0,32.0,3.0,70.0,10.0,0.293,0.43,0.345,86.0,160.3,466.0,0.3439914163090129,ÉZ,0.31900344388942325,10.557418347276634,858.0,32803.0,3607.0,62.34832161831892,0.9299363057324841,438.0,399.87261146496814,46.496815286624205,117.171974522293,26.038216560509554,4.649681528662421,6.509554140127388,172.03821656050957,54.86624203821656,2.789808917197452,3.7197452229299364,4.649681528662421,0.9299363057324841,29.75796178343949,2.789808917197452,65.09554140127389,9.299363057324841,79.97452229299363,149.0687898089172,433.3503184713376,0.34399141630901287,9.817726615938758,57.97996787436024,4.178542016384746
178,13115136,éRë´Å@íBñÁ,2020,ÉIÉäÉbÉNÉX,63,105,96,21,21,5,0,1,29,5,3,1,6,0,2,1,13,0,0.21899999999999997,0.302,0.242,15,24.1,99,0.24343434343434345,Ép,0.31533049922877243,-6.470654021498609,720,27080,2963,5.01808305383374,13115136.0,éRë´Å@íBñÁ,2019.0,ÉIÉäÉbÉNÉX,28.0,64.0,61.0,3.0,10.0,0.0,1.0,1.0,15.0,8.0,0.0,1.0,0.0,0.0,2.0,1.0,12.0,1.0,0.16399999999999998,0.24600000000000002,0.203,8.0,12.9,64.0,0.2015625,Ép,0.31988897159161395,-6.606561330531779,858.0,32792.0,3698.0,0.6108087597341392,1.640625,105.0,100.078125,4.921875,16.40625,0.0,1.640625,1.640625,24.609375,13.125,0.0,1.640625,0.0,0.0,3.28125,1.640625,19.6875,1.640625,13.125,21.1640625,105.0,0.2015625,-10.8388896829037,1.0021081214388214,4.0159749323949185
16,61065116,íÜìcÅ@„ƒ,2020,ñkäCìπì˙ñ{ÉnÉÄ,119,506,440,52,105,18,0,31,216,108,1,0,0,9,55,2,109,19,0.239,0.491,0.32,56,175.7,506,0.34723320158102766,Ép,0.31533049922877243,15.206954787908327,720,27080,2963,70.57172583665279,61065116.0,íÜìcÅ@„ƒ,2019.0,ñkäCìπì˙ñ{ÉnÉÄ,124.0,514.0,450.0,55.0,109.0,21.0,0.0,24.0,202.0,80.0,0.0,0.0,0.0,4.0,55.0,5.0,83.0,16.0,0.242,0.449,0.32899999999999996,64.0,174.89999999999998,514.0,0.340272373540856,Ép,0.31988897159161395,9.81800527221825,858.0,32792.0,3698.0,67.7825088096664,0.9844357976653697,506.0,442.99610894941634,54.143968871595334,107.3035019455253,20.673151750972764,0.0,23.626459143968873,198.85603112840468,78.75486381322958,0.0,0.0,0.0,3.937743190661479,54.143968871595334,4.9221789883268485,81.70817120622569,15.750972762645915,63.00389105058366,172.17782101167316,506.0,0.34027237354085604,9.665195851639004,66.72752812780392,3.844197708848867
292,61165134,êŒå¥Å@ïV,2020,ìåñkäyìV,18,24,23,1,4,1,0,0,5,1,0,0,1,0,0,0,13,0,0.174,0.217,0.174,3,4.0,23,0.17391304347826086,Ép,0.31533049922877243,-2.8283491150102313,720,27080,2963,-0.20235206921998028,61165134.0,êŒå¥Å@ïV,2019.0,ìåñkäyìV,4.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,Ép,0.31988897159161395,-1.8660190009510813,858.0,32792.0,3698.0,-1.0766191473282465,3.4285714285714284,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.142857142857142,0.0,0.0,0.0,24.0,0.0,-6.397779431832279,-3.6912656479825596,3.4889135787625793
103,41545136,ê¥ã{Å@çKëæòY,2020,ñkäCìπì˙ñ{ÉnÉÄ,96,263,226,23,43,9,0,7,73,22,2,0,0,1,33,3,59,6,0.19,0.32299999999999995,0.3,27,75.2,263,0.2859315589353612,Ép,0.31533049922877243,-7.3497350733528055,720,27080,2963,21.42681588676536,41545136.0,ê¥ã{Å@çKëæòY,2019.0,ñkäCìπì˙ñ{ÉnÉÄ,81.0,278.0,250.0,26.0,51.0,11.0,1.0,7.0,85.0,33.0,0.0,1.0,0.0,4.0,21.0,3.0,75.0,4.0,0.204,0.34,0.27,32.0,75.5,278.0,0.2715827338129496,Ép,0.31988897159161395,-12.318090633559404,858.0,32792.0,3698.0,19.032360696033177,0.9460431654676259,263.0,236.5107913669065,24.597122302158272,48.24820143884892,10.406474820143885,0.9460431654676259,6.622302158273381,80.4136690647482,31.219424460431654,0.0,0.9460431654676259,0.0,3.7841726618705036,19.866906474820144,2.838129496402878,70.95323741007195,3.7841726618705036,30.27338129496403,71.42625899280574,263.0,0.2715827338129496,-11.653445455489653,18.005434759196856,3.4213811275685053
140,61065131,å¥å˚Å@ï∂êm,2020,ç„Å@ê_,48,78,72,5,20,3,0,3,32,19,0,0,0,0,5,1,16,2,0.278,0.444,0.33299999999999996,14,26.699999999999996,78,0.34230769230769226,ÉZ,0.3185745868775059,1.6613173801130454,720,27093,2962,10.18883371274509,61065131.0,å¥å˚Å@ï∂êm,2019.0,ç„Å@ê_,43.0,94.0,87.0,8.0,24.0,4.0,0.0,1.0,31.0,11.0,0.0,0.0,0.0,2.0,4.0,1.0,23.0,3.0,0.276,0.35600000000000004,0.309,19.0,27.8,94.0,0.2957446808510638,ÉZ,0.31900344388942325,-1.9576125557285866,858.0,32803.0,3607.0,8.378576207494289,0.8297872340425532,78.0,72.19148936170212,6.638297872340425,19.914893617021278,3.3191489361702127,0.0,0.8297872340425532,25.72340425531915,9.127659574468085,0.0,0.0,0.0,1.6595744680851063,3.3191489361702127,0.8297872340425532,19.085106382978722,2.4893617021276597,15.765957446808512,23.06808510638298,78.0,0.29574468085106387,-1.6244019079449934,6.9524355764314345,3.236398136313656
62,21325136,ëÂèÈÅ@ëÏéO,2020,ì«Å@îÑ,93,308,274,30,74,10,1,9,113,41,1,0,1,3,30,0,82,1,0.27,0.41200000000000003,0.33899999999999997,54,102.19999999999999,307,0.3328990228013029,ÉZ,0.3185745868775059,4.07052720834565,720,27093,2962,37.74328400899527,21325136.0,ëÂèÈÅ@ëÏéO,2019.0,ì«Å@îÑ,109.0,329.0,294.0,19.0,78.0,16.0,1.0,6.0,114.0,30.0,0.0,1.0,5.0,1.0,25.0,4.0,80.0,7.0,0.265,0.38799999999999996,0.33,55.0,104.19999999999999,324.0,0.3216049382716049,ÉZ,0.31900344388942325,0.7782804026693457,858.0,32803.0,3607.0,36.95494107394941,0.9361702127659575,308.0,275.2340425531915,17.78723404255319,73.02127659574468,14.97872340425532,0.9361702127659575,5.617021276595745,106.72340425531915,28.085106382978722,0.0,0.9361702127659575,4.680851063829787,0.9361702127659575,23.404255319148938,3.74468085106383,74.8936170212766,6.553191489361702,51.48936170212766,97.54893617021276,303.3191489361702,0.3216049382716049,0.7286029301585365,34.596115047952644,3.147168961042624
82,81185134,éÖå¥Å@åíìl,2020,ç„Å@ê_,63,244,218,32,64,5,2,3,82,20,1,2,3,1,19,3,33,3,0.294,0.376,0.35700000000000004,54,79.7,241,0.33070539419087136,ÉZ,0.3185745868775059,2.699104627223816,720,27093,2962,29.374924949816368,81185134.0,éÖå¥Å@åíìl,2019.0,ç„Å@ê_,143.0,572.0,491.0,66.0,131.0,20.0,4.0,2.0,165.0,45.0,6.0,5.0,11.0,3.0,60.0,7.0,70.0,7.0,0.267,0.336,0.353,105.0,177.8,561.0,0.31693404634581107,ÉZ,0.31900344388942325,-1.1071276858325183,858.0,32803.0,3607.0,61.78968053292796,0.42657342657342656,244.0,209.44755244755245,28.153846153846153,55.88111888111888,8.531468531468532,1.7062937062937062,0.8531468531468531,70.38461538461539,19.195804195804197,2.559440559440559,2.132867132867133,4.6923076923076925,1.2797202797202796,25.594405594405593,2.986013986013986,29.86013986013986,2.986013986013986,44.790209790209786,75.84475524475523,239.3076923076923,0.316934046345811,-0.472271250599898,26.357835751808416,3.0170891980079517
232,11615137,íJì‡Å@ó∫ëæ,2020,ñkäCìπì˙ñ{ÉnÉÄ,50,18,16,3,5,0,0,0,5,3,0,0,0,1,1,0,3,0,0.313,0.313,0.33299999999999996,5,5.2,18,0.2888888888888889,Ép,0.31533049922877243,-0.44069350566472526,720,27080,2963,1.528804278677963,11615137.0,íJì‡Å@ó∫ëæ,2019.0,ñkäCìπì˙ñ{ÉnÉÄ,24.0,26.0,25.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,0.08,0.08,0.115,2.0,2.5,26.0,0.09615384615384616,Ép,0.31988897159161395,-5.034040322349775,858.0,32792.0,3698.0,-2.101983723179246,0.6923076923076923,18.0,17.307692307692307,0.6923076923076923,1.3846153846153846,0.0,0.0,0.0,1.3846153846153846,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.6923076923076923,5.538461538461538,1.3846153846153846,1.3846153846153846,1.7307692307692308,18.0,0.09615384615384616,-3.485104838549845,-1.4552195006625555,2.9840237793405184
